"","name","type","na","mean","disp","median","mad","min","max","nlevs"
"1","EDAD","numeric",0,57.4527881040892,22.7070049640624,58,28.1694,18,97,0
"2","SEXO","factor",0,NA,0.499628252788104,NA,NA,672,673,2
"3","CIVIL","factor",0,NA,0.405204460966543,NA,NA,545,800,2
"4","HIJOS","numeric",0,0.99182156133829,0.823262075117292,1,1.4826,0,2,0
"5","INGRESO","numeric",0,50640.7124483271,28354.4074045475,50290.7,36315.10092,110.284,99832.9,0
"6","AUTO","factor",0,NA,0.315241635687732,NA,NA,424,921,2
"7","CHURN","factor",0,NA,0.381412639405204,NA,NA,513,832,2
